Variable,Assumption,Calibrated Output,Climate Impact Parameter,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Policy,Unit,Value,Min,Max
"Ocean.Initial Cold surface ocean pH[45]",0,0,0,0,0,0,0,0,0,8.37901349558,8.25,8.4
"Ocean.Initial Cold surface ocean pH[46]",0,0,0,0,0,0,0,0,0,8.26293636925,8.25,8.4
"Ocean.Initial Cold surface ocean pH[47]",0,0,0,0,0,0,0,0,0,8.52350598566,8.25,8.4
"Ocean.Initial Cold surface ocean pH[48]",0,0,0,0,0,0,0,0,0,8.25693377792,8.25,8.4
"Ocean.Initial Cold surface ocean pH[49]",0,0,0,0,0,0,0,0,0,8.22450217305,8.25,8.4
"Ocean.Initial Cold surface ocean pH[50]",0,0,0,0,0,0,0,0,0,8.32589693299,8.25,8.4
"Ocean.Initial Cold surface ocean pH[51]",0,0,0,0,0,0,0,0,0,8.42308438755,8.25,8.4
"Ocean.Initial Cold surface ocean pH[52]",0,0,0,0,0,0,0,0,0,8.47829466882,8.25,8.4
"Ocean.Initial Cold surface ocean pH[53]",0,0,0,0,0,0,0,0,0,8.28192501114,8.25,8.4
"Ocean.Initial Cold surface ocean pH[54]",0,0,0,0,0,0,0,0,0,8.40119446379,8.25,8.4
"Ocean.Initial Cold surface ocean pH[55]",0,0,0,0,0,0,0,0,0,8.34322995424,8.25,8.4
"Ocean.Initial Cold surface ocean pH[56]",0,0,0,0,0,0,0,0,0,8.45177932286,8.25,8.4
"Ocean.Initial Cold surface ocean pH[57]",0,0,0,0,0,0,0,0,0,8.2786961488,8.25,8.4
"Ocean.Initial Cold surface ocean pH[58]",0,0,0,0,0,0,0,0,0,8.45961254032,8.25,8.4
"Ocean.Initial Cold surface ocean pH[59]",0,0,0,0,0,0,0,0,0,8.22433608244,8.25,8.4
"Ocean.Initial Cold surface ocean pH[60]",0,0,0,0,0,0,0,0,0,8.18801522169,8.25,8.4
"Ocean.Initial Cold surface ocean pH[61]",0,0,0,0,0,0,0,0,0,8.25226617004,8.25,8.4
"Ocean.Initial Cold surface ocean pH[62]",0,0,0,0,0,0,0,0,0,8.30715276422,8.25,8.4
"Ocean.Initial Cold surface ocean pH[63]",0,0,0,0,0,0,0,0,0,8.45283614135,8.25,8.4
"Ocean.Initial Cold surface ocean pH[64]",0,0,0,0,0,0,0,0,0,8.51630956551,8.25,8.4
"Ocean.Initial Cold surface ocean pH[65]",0,0,0,0,0,0,0,0,0,8.3413082362,8.25,8.4
"Ocean.Initial Cold surface ocean pH[66]",0,0,0,0,0,0,0,0,0,8.47699856135,8.25,8.4
"Ocean.Initial Cold surface ocean pH[67]",0,0,0,0,0,0,0,0,0,8.35822544855,8.25,8.4
"Ocean.Initial Cold surface ocean pH[68]",0,0,0,0,0,0,0,0,0,8.33311463147,8.25,8.4
"Ocean.Initial Cold surface ocean pH[69]",0,0,0,0,0,0,0,0,0,8.22859279354,8.25,8.4
"Ocean.Initial Cold surface ocean pH[70]",0,0,0,0,0,0,0,0,0,8.36546052549,8.25,8.4
"Ocean.Initial Cold surface ocean pH[71]",0,0,0,0,0,0,0,0,0,8.30114181243,8.25,8.4
"Ocean.Initial Cold surface ocean pH[72]",0,0,0,0,0,0,0,0,0,8.38312060726,8.25,8.4
"Ocean.Initial Cold surface ocean pH[73]",0,0,0,0,0,0,0,0,0,8.40676167082,8.25,8.4
"Ocean.Initial Cold surface ocean pH[74]",0,0,0,0,0,0,0,0,0,8.4094653976,8.25,8.4
"Ocean.Initial Cold surface ocean pH[75]",0,0,0,0,0,0,0,0,0,8.2971899321,8.25,8.4
"Ocean.Initial Cold surface ocean pH[76]",0,0,0,0,0,0,0,0,0,8.41073837058,8.25,8.4
"Ocean.Initial Cold surface ocean pH[77]",0,0,0,0,0,0,0,0,0,8.34005192734,8.25,8.4
"Ocean.Initial Cold surface ocean pH[78]",0,0,0,0,0,0,0,0,0,8.50098705579,8.25,8.4
"Ocean.Initial Cold surface ocean pH[79]",0,0,0,0,0,0,0,0,0,8.39628383103,8.25,8.4
"Ocean.Initial Cold surface ocean pH[80]",0,0,0,0,0,0,0,0,0,8.46625094276,8.25,8.4
"Ocean.Initial Cold surface ocean pH[81]",0,0,0,0,0,0,0,0,0,8.29622496882,8.25,8.4
"Ocean.Initial Cold surface ocean pH[82]",0,0,0,0,0,0,0,0,0,8.34849732878,8.25,8.4
"Ocean.Initial Cold surface ocean pH[83]",0,0,0,0,0,0,0,0,0,8.41453155485,8.25,8.4
"Ocean.Initial Cold surface ocean pH[84]",0,0,0,0,0,0,0,0,0,8.34664823757,8.25,8.4
"Ocean.Initial Cold surface ocean pH[85]",0,0,0,0,0,0,0,0,0,8.37643993387,8.25,8.4
"Ocean.Initial Cold surface ocean pH[86]",0,0,0,0,0,0,0,0,0,8.21839591049,8.25,8.4
"Ocean.Initial Cold surface ocean pH[87]",0,0,0,0,0,0,0,0,0,8.32602476266,8.25,8.4
"Ocean.Initial Cold surface ocean pH[88]",0,0,0,0,0,0,0,0,0,8.25991337575,8.25,8.4
"Ocean.Initial Cold surface ocean pH[89]",0,0,0,0,0,0,0,0,0,8.23371339375,8.25,8.4
"Ocean.Initial Cold surface ocean pH[90]",0,0,0,0,0,0,0,0,0,8.20733815312,8.25,8.4
"Ocean.Initial Cold surface ocean pH[91]",0,0,0,0,0,0,0,0,0,8.28758927734,8.25,8.4
"Ocean.Initial Cold surface ocean pH[92]",0,0,0,0,0,0,0,0,0,8.33083136614,8.25,8.4
"Ocean.Initial Cold surface ocean pH[93]",0,0,0,0,0,0,0,0,0,8.29489323224,8.25,8.4
"Ocean.Initial Cold surface ocean pH[94]",0,0,0,0,0,0,0,0,0,8.27473982387,8.25,8.4
"Ocean.Initial Cold surface ocean pH[95]",0,0,0,0,0,0,0,0,0,8.27970544773,8.25,8.4
"Ocean.Initial Cold surface ocean pH[96]",0,0,0,0,0,0,0,0,0,8.40849344646,8.25,8.4
"Ocean.Initial Cold surface ocean pH[97]",0,0,0,0,0,0,0,0,0,8.29394431129,8.25,8.4
"Ocean.Initial Cold surface ocean pH[98]",0,0,0,0,0,0,0,0,0,8.23795261909,8.25,8.4
"Ocean.Initial Cold surface ocean pH[99]",0,0,0,0,0,0,0,0,0,8.22947101579,8.25,8.4
"Ocean.Initial Cold surface ocean pH[100]",0,0,0,0,0,0,0,0,0,8.3224716368,8.25,8.4
"Ocean.Initial Deep ocean ocean carbon reservoir[1]",0,0,0,0,0,0,0,0,0,28982.9195645,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[2]",0,0,0,0,0,0,0,0,0,28411.2440737,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[3]",0,0,0,0,0,0,0,0,0,26572.0047142,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[4]",0,0,0,0,0,0,0,0,0,25711.1854893,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[5]",0,0,0,0,0,0,0,0,0,28645.5466538,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[6]",0,0,0,0,0,0,0,0,0,26933.2435578,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[7]",0,0,0,0,0,0,0,0,0,25893.3278544,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[8]",0,0,0,0,0,0,0,0,0,28934.9077518,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[9]",0,0,0,0,0,0,0,0,0,30546.0739616,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[10]",0,0,0,0,0,0,0,0,0,25000.6582805,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[11]",0,0,0,0,0,0,0,0,0,28822.2283501,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[12]",0,0,0,0,0,0,0,0,0,28161.5403201,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[13]",0,0,0,0,0,0,0,0,0,23328.3000406,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[14]",0,0,0,0,0,0,0,0,0,26990.6644344,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[15]",0,0,0,0,0,0,0,0,0,30463.5426239,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[16]",0,0,0,0,0,0,0,0,0,30101.9502869,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[17]",0,0,0,0,0,0,0,0,0,30673.5251691,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[18]",0,0,0,0,0,0,0,0,0,28946.1141651,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[19]",0,0,0,0,0,0,0,0,0,25326.9455648,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[20]",0,0,0,0,0,0,0,0,0,30107.8791747,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[21]",0,0,0,0,0,0,0,0,0,26934.9652934,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[22]",0,0,0,0,0,0,0,0,0,24829.3156767,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[23]",0,0,0,0,0,0,0,0,0,24535.6944974,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[24]",0,0,0,0,0,0,0,0,0,26677.4951551,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[25]",0,0,0,0,0,0,0,0,0,27547.9726766,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[26]",0,0,0,0,0,0,0,0,0,33338.0988173,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[27]",0,0,0,0,0,0,0,0,0,27102.5929108,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[28]",0,0,0,0,0,0,0,0,0,23274.8351416,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[29]",0,0,0,0,0,0,0,0,0,25401.6545451,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[30]",0,0,0,0,0,0,0,0,0,28348.9989895,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[31]",0,0,0,0,0,0,0,0,0,30115.8804382,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[32]",0,0,0,0,0,0,0,0,0,28791.0110039,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[33]",0,0,0,0,0,0,0,0,0,26864.547766,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[34]",0,0,0,0,0,0,0,0,0,26087.1394746,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[35]",0,0,0,0,0,0,0,0,0,24720.2224136,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[36]",0,0,0,0,0,0,0,0,0,27411.2692997,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[37]",0,0,0,0,0,0,0,0,0,27278.2910028,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[38]",0,0,0,0,0,0,0,0,0,26822.8159845,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[39]",0,0,0,0,0,0,0,0,0,28238.6284274,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[40]",0,0,0,0,0,0,0,0,0,26630.5050305,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[41]",0,0,0,0,0,0,0,0,0,29325.4627288,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[42]",0,0,0,0,0,0,0,0,0,28634.6871453,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[43]",0,0,0,0,0,0,0,0,0,28185.0399655,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[44]",0,0,0,0,0,0,0,0,0,24835.3588706,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[45]",0,0,0,0,0,0,0,0,0,27086.5482902,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[46]",0,0,0,0,0,0,0,0,0,24820.69604,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[47]",0,0,0,0,0,0,0,0,0,32642.8348821,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[48]",0,0,0,0,0,0,0,0,0,24759.3323949,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[49]",0,0,0,0,0,0,0,0,0,27369.8575672,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[50]",0,0,0,0,0,0,0,0,0,29322.2114883,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[51]",0,0,0,0,0,0,0,0,0,31451.6150845,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[52]",0,0,0,0,0,0,0,0,0,32729.7577462,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[53]",0,0,0,0,0,0,0,0,0,29519.5986475,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[54]",0,0,0,0,0,0,0,0,0,26217.0341301,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[55]",0,0,0,0,0,0,0,0,0,27080.9881537,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[56]",0,0,0,0,0,0,0,0,0,27459.5015491,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[57]",0,0,0,0,0,0,0,0,0,27368.4536315,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[58]",0,0,0,0,0,0,0,0,0,28157.7428926,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[59]",0,0,0,0,0,0,0,0,0,26202.9904602,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[60]",0,0,0,0,0,0,0,0,0,26661.6034389,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[61]",0,0,0,0,0,0,0,0,0,25935.8591966,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[62]",0,0,0,0,0,0,0,0,0,26651.7259584,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[63]",0,0,0,0,0,0,0,0,0,30488.8841257,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[64]",0,0,0,0,0,0,0,0,0,33165.1163724,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[65]",0,0,0,0,0,0,0,0,0,28197.7037935,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[66]",0,0,0,0,0,0,0,0,0,29041.7924554,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[67]",0,0,0,0,0,0,0,0,0,26091.5215639,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[68]",0,0,0,0,0,0,0,0,0,30369.6836456,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[69]",0,0,0,0,0,0,0,0,0,27081.3305053,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[70]",0,0,0,0,0,0,0,0,0,25631.5355229,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[71]",0,0,0,0,0,0,0,0,0,30577.2577931,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[72]",0,0,0,0,0,0,0,0,0,31061.2147624,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[73]",0,0,0,0,0,0,0,0,0,26529.7087613,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[74]",0,0,0,0,0,0,0,0,0,30847.6276862,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[75]",0,0,0,0,0,0,0,0,0,29258.8386494,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[76]",0,0,0,0,0,0,0,0,0,26032.5243227,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[77]",0,0,0,0,0,0,0,0,0,27394.9998491,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[78]",0,0,0,0,0,0,0,0,0,31599.8236159,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[79]",0,0,0,0,0,0,0,0,0,32715.6700843,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[80]",0,0,0,0,0,0,0,0,0,31056.602756,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[81]",0,0,0,0,0,0,0,0,0,27227.8731909,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[82]",0,0,0,0,0,0,0,0,0,25223.6566018,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[83]",0,0,0,0,0,0,0,0,0,24482.273968,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[84]",0,0,0,0,0,0,0,0,0,29714.1281093,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[85]",0,0,0,0,0,0,0,0,0,26092.3465467,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[86]",0,0,0,0,0,0,0,0,0,30115.4554609,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[87]",0,0,0,0,0,0,0,0,0,26044.1252887,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[88]",0,0,0,0,0,0,0,0,0,30563.5795572,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[89]",0,0,0,0,0,0,0,0,0,24083.1934827,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[90]",0,0,0,0,0,0,0,0,0,24329.856326,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[91]",0,0,0,0,0,0,0,0,0,24662.4514109,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[92]",0,0,0,0,0,0,0,0,0,31403.8643158,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[93]",0,0,0,0,0,0,0,0,0,29555.1640364,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[94]",0,0,0,0,0,0,0,0,0,28367.540548,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[95]",0,0,0,0,0,0,0,0,0,26172.8666374,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[96]",0,0,0,0,0,0,0,0,0,30038.3408186,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[97]",0,0,0,0,0,0,0,0,0,24663.0813269,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[98]",0,0,0,0,0,0,0,0,0,27017.9462818,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[99]",0,0,0,0,0,0,0,0,0,26800.1482531,28000,31000
"Ocean.Initial Deep ocean ocean carbon reservoir[100]",0,0,0,0,0,0,0,0,0,27350.1326841,28000,31000
"Ocean.Initial Intermediate depth ocean carbon reservoir[1]",0,0,0,0,0,0,0,0,0,7341.09802494,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[2]",0,0,0,0,0,0,0,0,0,4219.83024839,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[3]",0,0,0,0,0,0,0,0,0,6762.31278215,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[4]",0,0,0,0,0,0,0,0,0,7847.72103351,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[5]",0,0,0,0,0,0,0,0,0,8333.34684005,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[6]",0,0,0,0,0,0,0,0,0,9008.49913698,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[7]",0,0,0,0,0,0,0,0,0,9201.23140947,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[8]",0,0,0,0,0,0,0,0,0,6811.74568108,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[9]",0,0,0,0,0,0,0,0,0,4172.44623523,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[10]",0,0,0,0,0,0,0,0,0,9328.0288275,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[11]",0,0,0,0,0,0,0,0,0,6078.30705951,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[12]",0,0,0,0,0,0,0,0,0,6945.42252941,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[13]",0,0,0,0,0,0,0,0,0,8730.88666734,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[14]",0,0,0,0,0,0,0,0,0,4513.72304653,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[15]",0,0,0,0,0,0,0,0,0,4334.83892838,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[16]",0,0,0,0,0,0,0,0,0,7574.57782446,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[17]",0,0,0,0,0,0,0,0,0,5247.71709088,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[18]",0,0,0,0,0,0,0,0,0,3446.90829282,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[19]",0,0,0,0,0,0,0,0,0,7035.61778212,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[20]",0,0,0,0,0,0,0,0,0,4050.13969186,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[21]",0,0,0,0,0,0,0,0,0,4967.14175054,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[22]",0,0,0,0,0,0,0,0,0,9310.32697846,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[23]",0,0,0,0,0,0,0,0,0,8310.85058914,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[24]",0,0,0,0,0,0,0,0,0,9549.47983091,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[25]",0,0,0,0,0,0,0,0,0,5162.76578987,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[26]",0,0,0,0,0,0,0,0,0,3180.09481919,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[27]",0,0,0,0,0,0,0,0,0,6670.25730215,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[28]",0,0,0,0,0,0,0,0,0,9309.96831607,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[29]",0,0,0,0,0,0,0,0,0,9362.67875808,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[30]",0,0,0,0,0,0,0,0,0,6672.44817927,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[31]",0,0,0,0,0,0,0,0,0,5181.18100811,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[32]",0,0,0,0,0,0,0,0,0,5870.17359149,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[33]",0,0,0,0,0,0,0,0,0,7843.43917626,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[34]",0,0,0,0,0,0,0,0,0,7469.36507707,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[35]",0,0,0,0,0,0,0,0,0,9481.73811176,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[36]",0,0,0,0,0,0,0,0,0,4837.34603473,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[37]",0,0,0,0,0,0,0,0,0,4756.57523114,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[38]",0,0,0,0,0,0,0,0,0,5779.00787221,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[39]",0,0,0,0,0,0,0,0,0,4269.74668993,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[40]",0,0,0,0,0,0,0,0,0,5912.3046909,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[41]",0,0,0,0,0,0,0,0,0,5169.54600309,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[42]",0,0,0,0,0,0,0,0,0,5530.79378483,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[43]",0,0,0,0,0,0,0,0,0,5884.93687537,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[44]",0,0,0,0,0,0,0,0,0,9131.64401444,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[45]",0,0,0,0,0,0,0,0,0,7422.81278272,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[46]",0,0,0,0,0,0,0,0,0,9158.03110754,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[47]",0,0,0,0,0,0,0,0,0,4903.24610805,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[48]",0,0,0,0,0,0,0,0,0,7267.20040538,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[49]",0,0,0,0,0,0,0,0,0,7339.57405462,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[50]",0,0,0,0,0,0,0,0,0,7015.18614366,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[51]",0,0,0,0,0,0,0,0,0,4924.70361209,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[52]",0,0,0,0,0,0,0,0,0,3230.13358853,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[53]",0,0,0,0,0,0,0,0,0,6064.28016368,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[54]",0,0,0,0,0,0,0,0,0,8627.28740733,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[55]",0,0,0,0,0,0,0,0,0,7550.41204049,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[56]",0,0,0,0,0,0,0,0,0,9522.15285833,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[57]",0,0,0,0,0,0,0,0,0,4496.70959182,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[58]",0,0,0,0,0,0,0,0,0,9097.81741112,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[59]",0,0,0,0,0,0,0,0,0,7566.9151579,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[60]",0,0,0,0,0,0,0,0,0,7396.77691023,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[61]",0,0,0,0,0,0,0,0,0,5573.8827773,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[62]",0,0,0,0,0,0,0,0,0,5030.04400978,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[63]",0,0,0,0,0,0,0,0,0,4290.49580844,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[64]",0,0,0,0,0,0,0,0,0,3952.53876328,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[65]",0,0,0,0,0,0,0,0,0,6263.5790126,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[66]",0,0,0,0,0,0,0,0,0,6984.57814854,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[67]",0,0,0,0,0,0,0,0,0,7542.83863303,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[68]",0,0,0,0,0,0,0,0,0,6327.9375994,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[69]",0,0,0,0,0,0,0,0,0,7579.32081578,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[70]",0,0,0,0,0,0,0,0,0,8434.60756136,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[71]",0,0,0,0,0,0,0,0,0,3642.66243114,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[72]",0,0,0,0,0,0,0,0,0,5618.51349159,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[73]",0,0,0,0,0,0,0,0,0,9275.94014125,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[74]",0,0,0,0,0,0,0,0,0,3159.16230624,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[75]",0,0,0,0,0,0,0,0,0,2994.76566413,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[76]",0,0,0,0,0,0,0,0,0,8386.32237569,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[77]",0,0,0,0,0,0,0,0,0,5818.78697596,6000,7000
"Ocean.Initial Intermediate depth ocean carbon reservoir[78]",0,0,0,0,0,0,0,0,0,4925.29498308,6000,7000
