Variable,Assumption,Calibrated Output,Climate Impact Parameter,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Policy,Unit,Value,Min,Max
"Emissions.rate of change in energy related N2O emissions[Oil]",0,0,0,0,0,1,0,0,0,-0.00902089160155854,-0.05,0
"Emissions.rate of change in energy related N2O emissions[Coal]",0,0,0,0,0,1,0,0,0,-0.0234692244011569,-0.05,0
"Emissions.rate of decline in MtCH4 emission per PCal animal products",0,0,0,0,0,1,0,0,0,0.0142433921773313,0,0.018
"Emissions.rate of decline in MtN2O emission per PCal animal products",0,0,0,0,0,1,0,0,0,0.00234165831543859,0,0.02
"Emissions.rate of decline in tN2O emission per tN fertilizer",0,0,0,0,0,1,0,0,0,0.00573155692671689,0,0.02
"Emissions.sensitivity of HFC134a eq per person to relative CDD",0,0,0,0,0,1,0,0,0,8.06007324455125,1,10
"Emissions.sensitivity of non fossil CH4 per person to GDP per capita",0,0,0,0,0,0,0,0,0,0,-1,1
"Emissions.sensitivity of Other N2O per person to GDP per capita",0,0,0,0,0,1,0,0,0,-0.272890376937794,-1,1
"Emissions.tN2O emission per tN fertilizer 1980",0,0,0,0,0,1,0,0,0,0.0262730510536762,0,0.1
"Forest.CO2 tree net primary production parameter",0,0,0,0,0,1,0,0,0,0.001,0.0005,0.001
"Forest.forest aboveground biomass 1980",0,0,0,0,0,1,0,0,0,546.990743207387,450,700
"Forest.STA maximum aboveground biomass per area parameter",0,0,0,0,0,1,0,0,0,0.253488316289495,0.2,0.35
"Forest.STA squared maximum aboveground biomass per area parameter",0,0,0,0,0,1,0,0,0,-0.0487098107344002,-0.08,-0.02
"Forest.STA squared tree net primary production parameter",0,0,0,0,0,1,0,0,0,-0.023015026037364,-0.05,-0.01
"Forest.STA tree net primary production parameter",0,0,0,0,0,1,0,0,0,0.125348729226489,0.01,0.13
"Forest.tree net primary production in 1980",0,0,0,0,0,1,0,0,0,0.00832071686493894,0.005,0.01
"Forest.Young mature forest biomass ratio",0,0,0,0,0,1,0,0,0,0.558925781060304,0.3,0.7
"Grass.CO2 grass net primary production parameter",0,0,0,0,0,1,0,0,0,0.000963653776025308,0.0005,0.001
"Grass.grass net primary production in 1980",0,0,0,0,0,1,0,0,0,0.005,0.0025,0.005
"Grass.GtC per PCal of grazing multiplier",0,0,0,0,0,1,0,0,0,0.31577880511698,0.2,0.6
"Grass.STA grass net primary production parameter",0,0,0,0,0,1,0,0,0,0.126281691693998,0.01,0.13
"Grass.STA squared grass net primary production",0,0,0,0,0,1,0,0,0,-0.0346543950643458,-0.05,-0.01
"cropland soil carbon.cropland soil carbon 1980",0,0,0,0,0,1,0,0,0,106.352146988511,80,150
"degraded land soil carbon.degraded land productivity reduction factor",0,0,0,0,1,0,0,0,0,0.05,0.01,0.1
"forest soil carbon.forest soil carbon initialisation",0,0,0,0,0,1,0,0,0,799.996522487009,400,950
"forest soil carbon.Young forest soil carbon reduction factor",0,0,0,0,0,1,0,0,0,0.862530531087245,0.5,1
"grassland soil carbon.grassland soil carbon 1980",0,0,0,0,0,1,0,0,0,330,330,500
"soil carbon decay.cropland litter input share slow soil carbon",0,0,0,0,0,1,0,0,0,0.0162331648914426,0.01,0.02
"soil carbon decay.cropland slow soil carbon historic share",0,0,0,0,0,1,0,0,0,0.37474255141796,0.3,0.4
"soil carbon decay.e0",0,0,0,0,0,1,0,0,0,290.028744464422,290,320
"soil carbon decay.grassland litter input share slow soil carbon",0,0,0,0,0,1,0,0,0,0.0182493478295644,0.01,0.02
"soil carbon decay.grassland slow soil carbon historic share",0,0,0,0,0,1,0,0,0,0.4,0.3,0.4
"soil carbon decay.mature forest litter input share slow soil carbon",0,0,0,0,0,1,0,0,0,0.0213652503506472,0.015,0.025
"soil carbon decay.mature forest slow soil carbon historic share",0,0,0,0,0,1,0,0,0,0.399614251669709,0.3,0.4
"soil carbon decay.natural decay rate fast soil carbon",0,0,0,0,0,1,0,0,0,0.025,0.025,0.035
"soil carbon decay.natural decay rate litter carbon",0,0,0,0,0,1,0,0,0,0.600513407157666,0.6,0.8
"soil carbon decay.natural decay rate slow soil carbon",0,0,0,0,0,1,0,0,0,0.000808823659549357,0.0008,0.0012
"soil carbon decay.temp response",0,0,0,0,0,1,0,0,0,60,40,60
"soil carbon decay.young forest litter input share slow soil carbon",0,0,0,0,0,1,0,0,0,0.0117298173139784,0.01,0.025
"soil carbon decay.young forest slow soil carbon historic share",0,0,0,0,0,1,0,0,0,0.3,0.3,0.4
"Terrestrial Carbon Balance.Global peatland carbon uptake rate",0,0,0,0,0,1,0,0,0,0.29995460500312,0.1,0.3
"Ocean.Initial Cold surface ocean carbon reservoir[1]",0,0,0,0,0,0,0,0,0,127.468766831,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[2]",0,0,0,0,0,0,0,0,0,356.90516641,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[3]",0,0,0,0,0,0,0,0,0,450.345429704,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[4]",0,0,0,0,0,0,0,0,0,232.911868638,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[5]",0,0,0,0,0,0,0,0,0,207.570874867,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[6]",0,0,0,0,0,0,0,0,0,482.32102325,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[7]",0,0,0,0,0,0,0,0,0,389.43106499,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[8]",0,0,0,0,0,0,0,0,0,373.752545789,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[9]",0,0,0,0,0,0,0,0,0,80.3926514772,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[10]",0,0,0,0,0,0,0,0,0,165.876168363,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[11]",0,0,0,0,0,0,0,0,0,609.048668102,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[12]",0,0,0,0,0,0,0,0,0,609.022436657,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[13]",0,0,0,0,0,0,0,0,0,228.107418819,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[14]",0,0,0,0,0,0,0,0,0,299.229053131,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[15]",0,0,0,0,0,0,0,0,0,593.057059407,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[16]",0,0,0,0,0,0,0,0,0,400.452003216,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[17]",0,0,0,0,0,0,0,0,0,128.946879813,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[18]",0,0,0,0,0,0,0,0,0,574.940745381,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[19]",0,0,0,0,0,0,0,0,0,604.939485756,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[20]",0,0,0,0,0,0,0,0,0,406.795216291,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[21]",0,0,0,0,0,0,0,0,0,448.493079517,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[22]",0,0,0,0,0,0,0,0,0,631.778051646,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[23]",0,0,0,0,0,0,0,0,0,629.950712195,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[24]",0,0,0,0,0,0,0,0,0,469.127438869,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[25]",0,0,0,0,0,0,0,0,0,374.358359864,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[26]",0,0,0,0,0,0,0,0,0,288.189169019,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[27]",0,0,0,0,0,0,0,0,0,210.147023987,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[28]",0,0,0,0,0,0,0,0,0,536.817282649,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[29]",0,0,0,0,0,0,0,0,0,339.274535908,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[30]",0,0,0,0,0,0,0,0,0,278.884388056,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[31]",0,0,0,0,0,0,0,0,0,401.07950598,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[32]",0,0,0,0,0,0,0,0,0,432.779275143,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[33]",0,0,0,0,0,0,0,0,0,553.485306151,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[34]",0,0,0,0,0,0,0,0,0,279.370801952,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[35]",0,0,0,0,0,0,0,0,0,507.072590187,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[36]",0,0,0,0,0,0,0,0,0,577.447452127,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[37]",0,0,0,0,0,0,0,0,0,426.879893903,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[38]",0,0,0,0,0,0,0,0,0,521.828598785,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[39]",0,0,0,0,0,0,0,0,0,185.572213683,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[40]",0,0,0,0,0,0,0,0,0,221.932163694,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[41]",0,0,0,0,0,0,0,0,0,353.478814178,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[42]",0,0,0,0,0,0,0,0,0,568.943163672,315,340
"Ocean.Initial Cold surface ocean carbon reservoir[43]",0,0,0,0,0,0,0,0,0,282.413263539,315,340
