,Variable,Value,Min,Max
1,Climate Units.selected climate case[1],90,1,100
2,Climate Units.selected energy supply thermoelectric damages case[1],6,1,11
3,Climate Units.selected energy supply hydroelectric damages case[1],6,1,11
4,Climate Units.selected cold mortality impact case[1],6,1,11
5,Climate Units.selected hot mortality impact case[1],6,1,11
6,Climate Units.selected extremes exposure damages case[1],6,1,11
7,Climate Units.selected crops damages case[1],6,1,11
