Year,Energy Balance Model.Surface Temperature Anomaly[1]
2009.5,0.894886686049
2009.625,0.898059819417
2009.75,0.901338256021
2009.875,0.904711781939
2010,0.908171320504
2010.125,0.911651062918
2010.25,0.915094330604
2010.375,0.918506013369
2010.5,0.921890409469
2010.625,0.925251304753
2010.75,0.92859203413
2010.875,0.931915536607
2011,0.935224401409
2011.125,0.938570846739
2011.25,0.941999663033
2011.375,0.945502826363
2011.5,0.949073229708
2011.625,0.952704588525
2011.75,0.956391345733
2011.875,0.96012859314
2012,0.963911996629
2012.125,0.967715487503
2012.25,0.971516631628
2012.375,0.975316812971
2012.5,0.979117266178
2012.625,0.982919094188
2012.75,0.986723282663
2012.875,0.990530715686
2013,0.994342188104
2013.125,0.998119148305
2013.25,1.00182859567
2013.375,1.00547881385
2013.5,1.00907714487
2013.625,1.01263009979
2013.75,1.01614345392
2013.875,1.01962232954
2014,1.02307127414
2014.125,1.02642658234
2014.25,1.02963379491
2014.375,1.03270938314
2014.5,1.03566793122
2014.625,1.03852237125
2014.75,1.04128418604
2014.875,1.04396356631
2015,1.04656956457
2015.125,1.04915218086
2015.25,1.05175442227
2015.375,1.05437422609
2015.5,1.05700970354
2015.625,1.05965914389
2015.75,1.06232102333
2015.875,1.06499400224
2016,1.06767692472
2016.125,1.07041250389
2016.25,1.07323732255
2016.375,1.07614200532
2016.5,1.07911820408
2016.625,1.08215855111
2016.75,1.08525656116
2016.875,1.08840649876
2017,1.09160327287
2017.125,1.09480456258
2017.25,1.09797381292
2017.375,1.10111454496
2017.5,1.10422980408
2017.625,1.10732228977
2017.75,1.11039443737
2017.875,1.11344846694
2018,1.11648641939
2018.125,1.11947841762
2018.25,1.12239893116
2018.375,1.12525564493
2018.5,1.12805531728
2018.625,1.13080391462
2018.75,1.13350670436
2018.875,1.13616832896
2019,1.13879287946
2019.125,1.14140631696
2019.25,1.14403092512
2019.375,1.14666502333
2019.5,1.14930707472
2019.625,1.15195570106
2019.75,1.15460967688
2019.875,1.15726792029
2020,1.15992949729
2020.125,1.16273182928
2020.25,1.1657926697
2020.375,1.16908436722
2020.5,1.17258244823
2020.625,1.17626525704
2020.75,1.18011361847
2020.875,1.18411054756
2021,1.18824100013
2021.125,1.19238012979
2021.25,1.19642055552
2021.375,1.20037360491
2021.5,1.2042492337
2021.625,1.20805620743
2021.75,1.21180225508
2021.875,1.21549421381
2022,1.21913814828
2022.125,1.22288555203
2022.25,1.22686640618
2022.375,1.23105635427
2022.5,1.23543384974
2022.625,1.23997983366
2022.75,1.24467743737
2022.875,1.249511724
2023,1.25446947195
2023.125,1.2593866942
2023.25,1.26412253474
2023.375,1.26869764302
2023.5,1.27313026884
2023.625,1.27743656401
2023.75,1.28163083034
2023.875,1.28572573565
2024,1.28973251045
2024.125,1.29363714175
2024.25,1.297427926
2024.375,1.30111741921
2024.5,1.3047167519
2024.625,1.30823580266
2024.75,1.31168334306
2024.875,1.31506716205
2025,1.31839418701
2025.125,1.32165226241
2025.25,1.3248311768
2025.375,1.32793941353
2025.5,1.33098449905
2025.625,1.33397312328
2025.75,1.3369112318
2025.875,1.3398041099
2026,1.34265645952
2026.125,1.34546824206
2026.25,1.3482395617
2026.375,1.35097456631
2026.5,1.3536769411
2026.625,1.35634996277
2026.75,1.35899654086
2026.875,1.36161924665
2027,1.36422036105
2027.125,1.36680106984
2027.25,1.36936245304
2027.375,1.37190628429
2027.5,1.37443412918
2027.625,1.37694737575
2027.75,1.37944725181
2027.875,1.3819348426
2028,1.38441110957
2028.125,1.38689724732
2028.25,1.38941143906
2028.375,1.39195036941
2028.5,1.39451109739
2028.625,1.39709101583
2028.75,1.39968780697
2028.875,1.4022994154
2029,1.40492401111
2029.125,1.40755063219
2029.25,1.4101698268
2029.375,1.41278211689
2029.5,1.41538795287
2029.625,1.41798771813
2029.75,1.42058173526
2029.875,1.4231702773
2030,1.4257535726
2030.125,1.42834229674
2030.25,1.43094559092
2030.375,1.4335615288
2030.5,1.4361883958
2030.625,1.43882466549
2030.75,1.44146897261
2030.875,1.44412009812
2031,1.4467769563
2031.125,1.44943876603
2031.25,1.45210484087
2031.375,1.45477440512
2031.5,1.45744676696
2031.625,1.46012131389
2031.75,1.46279750804
2031.875,1.46547486599
2032,1.46815296876
2032.125,1.47084615612
2032.25,1.47356671086
2032.375,1.47631149258
2032.5,1.47907771332
2032.625,1.48186291437
2032.75,1.4846649312
2032.875,1.48748183994
2033,1.49031195388
2033.125,1.49318052275
2033.25,1.49610914909
2033.375,1.49909147751
2033.5,1.50212186053
2033.625,1.50519529955
2033.75,1.50830737644
2033.875,1.51145418607
2034,1.51463228302
2034.125,1.51788171903
2034.25,1.52123673482
2034.375,1.52468652784
2034.5,1.52822153742
2034.625,1.53183330832
2034.75,1.53551435716
2034.875,1.53925806509
2035,1.54305857499
2035.125,1.54686515329
2035.25,1.55063417928
2035.375,1.55437050899
2035.5,1.55807843498
2035.625,1.56176175476
2035.75,1.56542382739
2035.875,1.56906763107
2036,1.57269580685
2036.125,1.5763275438
2036.25,1.57997935786
2036.375,1.58364980342
2036.5,1.58733760885
2036.625,1.59104165714
2036.75,1.59476096391
2036.875,1.59849466633
2037,1.60224200709
2037.125,1.60595612375
2037.25,1.6095968447
2037.375,1.61317270148
2037.5,1.61669124087
2037.625,1.62015914154
2037.75,1.6235823151
2037.875,1.62696599118
2038,1.63031480107
2038.125,1.63365502349
2038.25,1.63700929278
2038.375,1.64037648648
2038.5,1.64375560706
2038.625,1.64714577215
2038.75,1.65054620251
2038.875,1.6539562006
2039,1.65737514552
2039.125,1.66077025221
2039.25,1.66411339432
